Prime Contract ID,Contract Includes Sub Vendors,Vendor Record Type,Prime Vendor,Prime Vendor M/WBE Category,Prime Contract Purpose,Prime Contract Current Amount,Prime Contract Original Amount,Prime Vendor Spend to Date,Prime Contract Start Date,Prime Contract End Date,Prime Contract Registration Date,Prime Woman Owned Business,Prime Emerging Business,Prime Contracting Agency,OCA Number,Prime Contract Version,FMS Document/Parent Contract ID,Prime Contract Type,Prime Contract Award Method,Prime Contract Expense Category,Prime Contract Industry,Prime Contract PIN,Prime Contract APT PIN,% COVID Spending,% Other Spending,Sub Vendor,Sub Vendor M/WBE Category,Sub Contract Purpose,Subcontract Status,Sub Contract Industry,Sub Contract Current Amount,Sub Contract Original Amount,Sub Vendor Paid to Date,Sub Contract Start Date,Sub Contract End Date,Sub Contract Reference ID,Sub Woman Owned Business,Sub Emerging Business
MMA184620258802745,no,Prime Vendor,WILDLIFE CONSERVATION SOCIETY,Non-M/WBE,"D esign, construction, and construction supervision of capit",49000000,49000000,0,10/1/2024,10/1/2029,11/14/2024,No ,No ,Department of Parks and Recreation,1015998395,1,-,CONSTRUCTION,SOLE SOURCE,,Construction Services,84624S0005001,,0,0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0,0,0,,,Not Applicable,Not Applicable,Not Applicable
MMA180620256200631,no,Prime Vendor,NEW YORK CITY HOUSING AUTHORITY,Non-M/WBE,IDIQ Job Order Contract @ Various in Citywide,8347451.71,8347451.71,0,1/21/2024,1/20/2025,1/15/2025,Yes,No ,Housing Preservation and Development,1016224133,1,-,REQUIREMENTS-CONSTRUCTION,RENEWAL OF CONTRACT,,Construction Services,NYES - PO2113069,,0,0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0,0,0,,,Not Applicable,Not Applicable,Not Applicable
MMA180620256200453,no,Prime Vendor,NEW YORK CITY HOUSING AUTHORITY,Non-M/WBE,Removal & Replacement of Vinyl Asbestos Floor Tiles,24999999.99,24999999.99,0,8/14/2024,8/13/2027,10/4/2024,Yes,No ,Housing Preservation and Development,1015886922,1,-,REQUIREMENTS-CONSTRUCTION,COMPETITIVE SEALED BIDDING,,Construction Services,PO #2416485 - BARROS CONST.,,0,0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0,0,0,,,Not Applicable,Not Applicable,Not Applicable
MMA180620256200451,no,Prime Vendor,NEW YORK CITY HOUSING AUTHORITY,Non-M/WBE,Removal & Replacement of Vinyl Asbestos Floor Tiles,24999999.99,24999999.99,0,8/14/2024,8/13/2027,10/4/2024,Yes,No ,Housing Preservation and Development,1015885673,1,-,REQUIREMENTS-CONSTRUCTION,COMPETITIVE SEALED BIDDING,,Construction Services,PO #2416625 - AGD CONTRACTING,,0,0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0,0,0,,,Not Applicable,Not Applicable,Not Applicable
MMA180620256200361,no,Prime Vendor,NEW YORK CITY HOUSING AUTHORITY,Non-M/WBE,IDIQ Capacity contract for Brickwork Repair at Various Dev,24999999,24999999,0,6/24/2024,6/23/2027,10/8/2024,Yes,No ,Housing Preservation and Development,1015867969,1,-,REQUIREMENTS-CONSTRUCTION,COMPETITIVE SEALED BIDDING,,Construction Services,P&K CONTRACTING - PO#2413762,,0,0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0,0,0,,,Not Applicable,Not Applicable,Not Applicable
MMA180620256200346,no,Prime Vendor,NEW YORK CITY HOUSING AUTHORITY,Non-M/WBE,IDIQ Local Law 11 Brickwork Repair at Various Developments,24999999.99,24999999.99,0,6/25/2024,6/25/2027,10/16/2024,Yes,No ,Housing Preservation and Development,1015848575,1,-,REQUIREMENTS-CONSTRUCTION,COMPETITIVE SEALED BIDDING,,Construction Services,PO #2413376 - ZORIA HOUSING,,0,0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0,0,0,,,Not Applicable,Not Applicable,Not Applicable
MMA180620256200332,no,Prime Vendor,NEW YORK CITY HOUSING AUTHORITY,Non-M/WBE,IDIQ Local Law 11 Brickwork Repair at Various Developments,24999999.99,24999999.99,0,6/25/2024,6/25/2027,10/3/2024,Yes,No ,Housing Preservation and Development,1015845987,1,-,REQUIREMENTS-CONSTRUCTION,COMPETITIVE SEALED BIDDING,,Construction Services,PO #2413368 - ZORIA HOUSING,,0,0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0,0,0,,,Not Applicable,Not Applicable,Not Applicable
MMA180620256200106,no,Prime Vendor,NEW YORK CITY HOUSING AUTHORITY,Non-M/WBE,IDIQ Contract for Lead-Based Paint Abatement  @Various Deve.,5006460,5006460,0,1/21/2024,1/20/2025,8/20/2024,Yes,No ,Housing Preservation and Development,1015648267,1,-,REQUIREMENTS-CONSTRUCTION,RENEWAL OF CONTRACT,,Construction Services,PO #1927037 - JOSEPH ENVIR.,,0,0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0,0,0,,,Not Applicable,Not Applicable,Not Applicable
MMA180620256200092,no,Prime Vendor,NEW YORK CITY HOUSING AUTHORITY,Non-M/WBE,IDIQ JOC Roofing Work @ Various Development in Citywide,6100255.12,6100255.12,0,4/15/2024,4/14/2025,9/11/2024,Yes,No ,Housing Preservation and Development,1015647488,1,-,REQUIREMENTS-CONSTRUCTION,REQUEST FOR  PROPOSAL (RFP),,Construction Services,ZORIA - PO#2335826,,0,0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0,0,0,,,Not Applicable,Not Applicable,Not Applicable
MMA180620256200077,no,Prime Vendor,NEW YORK CITY HOUSING AUTHORITY,Non-M/WBE,IDIQ - JOC for Roof Work @Various Developments,10000000,10000000,0,4/15/2024,4/15/2027,8/5/2024,Yes,No ,Housing Preservation and Development,1015645412,1,-,REQUIREMENTS-CONSTRUCTION,COMPETITIVE SEALED BIDDING,,Construction Services,PO #2335823 - ZORIA HOUSING LL,,0,0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0,0,0,,,Not Applicable,Not Applicable,Not Applicable
